
"Abordagem Mentecorpo - Auto-ajuda para os órfãos da saúde e náufragos da comunicação",,"uploads/bibliografias/20780.jpg","Introdução:
Nas três últimas décadas, renomados pesquisadores têm usado tecnologias de última geração, extraordinariamente complexas e extremamente onerosas para demonstrar que princípios, técnicas e métodos antiquíssimos simples e econômicos também funcionam. Ou seja, que a observação empírica precede sempre a constatação científica. Ou você pensava, ingênuo leitor, que as pessoas só passaram a cair em buracos depois que Newton descobriu a lei da gravidade?
Este aval científico a conceitos e procedimentos pré-hipocráticos – e a sua sistematização – é um paradigma emergente, uma nova forma sistêmica de ver a realidade, de perceber o mundo, chamada de Abordagem  MenteCorpo. Pode ser aplicada a diversas áreas do interesse humano, como a saúde (Medicina MenteCorpo), educação (Aprendizagem e Ensino MenteCorpo) e comunicação (Comunicação MenteCorpo), entre tantas outras.
A rigor, a Abordagem MenteCorpo é uma integração do que melhor funciona nas pesquisas científicas e na alta tecnologia aplicada aos inúmeros campos das conveniências humanas e – tão importante quanto – nos recursos internos dos próprios clientes.
Dito de outra forma, a Abordagem MenteCorpo é uma síntese  dos melhores e mais atuais premissas, técnicas e métodos das formas breves de psicoterapia (Programação Neurolinguística - PNL, Hipnose Ericksoniana, Biofeedback, Visualização Dirigida, Relaxamento, Respiração, Concentração, FotoLeitura,  certos tipos de música), das investigações científicas (pesquisas básicas, aplicadas e epidemiológicas, teoria dos genes de atividade imediata (Neuróbica), Feldenkrais, Psiconeuroimunologia e das capacidades potenciais do ser humano.
Baseada em pressuposições de que os padrões de pensamentos, emoções e fisiologia interagem continuamente, gerando reações desejáveis ou indesejáveis, a Abordagem MenteCorpo demonstra – através dos seus modelos e estratégias – que é possível substituir crenças inúteis ou limitantes por outras que facilitam a vida. Assim, torna-se mais provável, mais rápido e mais econômico se obter o que se deseja ser, ter e fazer.
Os workshops, cursos, palestras e consultorias individuais ou em grupos destinam-se a todos aqueles que queiram melhorar continuamente sua saúde plena, sua qualidade de vida pessoal, familiar, profissional e social e sua capacidade de comunicação. Os princípios, técnicas e atividades da Abordagem MenteCorpo, complementadas por exercícios individuais e em grupos, seguidos de feedbacks, ensinam de modo prático, dinâmico, irreverente e bem-humorado como lidar criativamente com o estresse, como transformar problemas em soluções, sonhos em realidade, ansiedades em motivações, e traumas e sofrimentos em experiências enriquecedoras.
 
Autor: Nelson Marins
","2015-08-11 02:52:29"
"Guia de PNL (Programação Neurolinguística) ",,"uploads/bibliografias/Guia de PNL.jpg","Guia de PNL (Programação Neurolinguística) – Novas técnicas para o desenvolvimento pessoal e profissional. 

Alain Cayol e Patrick Barrère
Título original: La Programmation Neuro-Linguistique
Editora: Record
Páginas: 173
ISBN: 8501044547

Este livro recém publicado de PNL traz como novidade o fato de ser escrito por autores franceses. Nele encontramos temas já conhecidos mas apresentados com uma linguagem diferente, talvez pelo fato de o francês ser uma língua latina. A parte linguística da PNL é mais próxima ao português pois as gramáticas de ambas são assemelhadas.

Nos três primeiros capítulos encontramos os básicos e os pressupostos da PNL. É no quarto capítulo, que se chama “Três aplicações da PNL às relações profissionais”, que está uma das preciosidades deste livro. Se trata de um capítulo de pouco mais de 30 páginas dedicado à aplicação prática da PNL na área de vendas, em reuniões, negociação e objeções.

A outra novidade trazida por este livro é o fato de apresentar ao fim do livro exercícios com suas correções. Os exercícios são sobre os predicados, identificação do sistema representacional, movimentos oculares, ressignificação, desenvolvimento de acuidade sensorial e calibragem, rapport, ancoragem e um programa de autoformação em 16 etapas.

Além disso tudo, a última parte do livro compreende um modelo de seminário de PNL a ser desenvolvido em duas partes de três dias cada uma. Esta parte pode ser de utilidade para aqueles que desejam iniciar a administração de cursos, mas se sentem inseguros sobre como e o que apresentar.

Por fim, para quem está em busca de novas e diferentes fontes de informação, a bibliografia lista, entre os básicos, livros de autores franceses não conhecidos entre a maioria dos penelistas brasileiros. Assim aquele que se interessa e domina este idioma pode ter acesso à bibliografia.

Revisão feita por Márcia Hexsel Abichequer, médica nefrologista e Master Practitioner de PNL
Publicado em ""O Golfinho"" Nº 21 JUL/96


","2015-08-11 15:34:59"
"Introdução à Neurolingüística",,"uploads/bibliografias/Introdução à Neurolingüística.jpg","
Resenha:
Para você que deseja saber o que é neurolinguística e como ela pode auxiliar na sua vida profissional e particular, esse é o livro certo. São dicas de como explorar ao máximo seu potencial, sabendo se autoconduzir fazendo o mesmo com as pessoas ao seu redor. Uma obra informativa que, devido a sua linguagem clara e objetiva, faz com que o leitor absorva o conteúdo rapidamente.
Sue Knight é também autora de, A Programação Neurolinguística e o Sucesso nos Negócios

Comentário:

Sue Knight é famosa na Grã-Bretanha. É considerada pioneira no uso da Programação Neurolinguística para aperfeiçoar a qualidade no mundo dos negócios. Seu livro NLP at Work, publicado no Brasil sob o título A PROGRAMAÇÃO NEUROLINGÜÍSTICA E O SUCESSO NOS NEGÓCIOS pela Ediouro é um dos clássicos na arte de incentivar e mostrar como as pessoas podem desenvolver habilidades de liderança, e foi comentado aqui no Golfinho (Jul/98 Nº42)..

INTRODUÇÃO À NEUROLINGÜÍSTICA, - no original britânico Introducing NLP, - publicado em nosso país pela Editora Nobel na coleção VOCÊ s.a. é o seu segundo livro traduzido em língua portuguesa. É uma obra de apenas 56 páginas. Mas consegue transferir ao iniciante uma boa ideia do que a PNL pode fazer pelas pessoas, pessoal e profissionalmente. No capítulo 1, O que é PNL?, em vez de seguir os modelos tradicionais de conceituar, instiga o leitor com uma série de perguntas para demonstrar que seu comportamento é fruto de uma estratégia - e que a PNL pode aprimorar suas estratégias, mexendo nos padrões de pensamento e de comportamento orientados por novas crenças e novos valores. Afirma que, acima de tudo, PNL é modelagem. E que se você não pode mudar o mundo, pode mudar a maneira (o mapa) como representa o mundo.

Em linguagem coloquial, sempre conversando com o leitor, a autora, nos capítulo 2 e 3, aprofunda nosso conhecimento, demonstrando como chegar, com criatividade, aos objetivos e como comunicá-los. ""Não são as circunstâncias que determinam nosso sucesso e nossa felicidade, mas sim nossa maneira de pensar a vida"", afirma Sue Knight.

Em todos os capítulos, em destaque, deparamos com histórias e estudos de casos, ferramentas metafóricas para trabalhar o inconsciente. É o que acontece também no capítulo 4, onde a autora demonstra que a vida é uma série de negociações e que você pode avaliar as situações vividas a partir de diferentes posições: do seu próprio lugar, do lugar do outro, do lugar de alguém de fora.

""Dê importância àquilo que dê certo para você"" é o assunto e título do capítulo 5. Aqui o leitor conhece como administrar o estado de espírito e como adquirir habilidade em estruturar e reestruturar as situações ""de maneira que elas funcionem para nós"". A autora traça caminhos para que se sacuda a poeira de nossas convicções limitantes.

Nos dois últimos capítulos, Sue Knight, ensina-nos o uso de âncoras. Acentua que todo o tempo estamos criando associações e os nossos sentidos desencadeando respostas. Conta uma passagem da vida de Gandhi para que o leitor aprenda ""a habilidade e a disposição de as pessoas agirem como um exemplo de como elas gostariam de ser tratadas"". Demonstra, finalmente, ilustrando com um modelo de Gregory Bateson, desenvolvido por Robert Dilts, que um dos objetivos da PNL é tornar consciente o inconsciente ou seja, garantir que haja plena circulação de mensagens que estejam em sintonia com ambos os aspectos de nossa mente (consciente e inconsciente).

Cometário de João Nicolau Carvalho, publicado no Golfinho nº78 de JUL/2001

Título original: Introducing NLP
Editora: Nobel
ISBN: 8521311567
Autor(a): Sue Knight","2015-08-11 15:44:31"
"Introdução à Programação Neurolinguística - Como entender e influenciar as pessoas","http://www.amazon.com/gp/product/8532304710/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=8532304710&linkCode=as2&tag=mapn-20&linkId=FEXCBJUWLBZJVC2U","uploads/bibliografias/Introdução_à_Programação_Neurolinguística__37250_zoom.jpg","Os aficionados e amantes da PNL, ou os que são ""apenas"" penelistas, podem sentir-se gratificados com o lançamento deste livro em português. A editora Summus deve ser cumprimentada pelos livros que publica na área da PNL por ter escolhido até o momento livros considerados nos seus países de origem da maior significância e de renomada qualidade.

Os autores britânicos foram hábeis produzindo um livro não muito extenso e que apresenta uma grande diversidade de informações às quais só temos acesso lendo vários livros. Nele se encontra praticamente todo o programa do curso practitioner, o que talvez até o qualifique como um manual deste.

A organização cuidadosa do vasto material facilita a leitura. Outro ponto forte é o índice, que consiste de quatro páginas, sendo minuciosamente subdividido e autoexplicativo o que permite que se encontre os assuntos rapidamente.

Para aqueles ainda céticos, as provas que validam esta obra poderiam ser a apresentação feita por Robert Dilts e o prefácio de John Grinder.

Mas o que mais me despertou curiosidade foi a presença aqui e ali de passagens do livro de Lewis Carrol, ""Através do espelho e o que Alice encontrou lá"", em sintonia com o assunto que era discorrido. Não resisti ao desejo de reler ""Alice"", com a desculpa de que estava lendo para o meu filho. Divido com vocês a última frase do livro: ""E como ela se emocionaria com as suas tristezas tão puras e encontraria prazer nas suas alegrias tão simples, lembrando-se da própria infância e dos dias felizes de verão.""

Revisão feita por Márcia Hexsel Abichequer,
Médica Nefrologista e Master Practitioner

Título original: Introducing Neuro-Linguistic Programming
Editora: Summus
Páginas: 227
ISBN: 8532304710, 9788532304711
Escrito por: Joseph O'Connor, John Seymour
","2015-08-11 16:04:34"
"Mude sua Vida Com PNL",,"uploads/bibliografias/Mude sua Vida Com PNL.jpg","A Programação Neurolingüística - PNL - é uma ciência que estuda o funciona-mento do cérebro humano desde o momento em que ele capta as informações do meio ambiente, a forma como ele registra estas informações e, finalmente, a maneira como estas informações interferem nos comporta-mentos, nas capacidades, nas crenças, valores, na identidade; e nos relacionamentos com outras pessoas, com o meio ambiente, e com o que está acima de nós e que cada um chama de um jeito: Deus, Cosmos, Universo, Unidade, Eu Superior, etc.

A PNL não foi criada por alguém, foi observada e pesquisada no início da década de 70, por alguns americanos: Richard Bandler, John Grinder, Robert Dilts, Todd Epstein, Judith DeLozier, Steve Andreas, entre outros. Eles partiram do pressuposto de que os seres humanos mudam no decorrer de suas vidas, e que para isto aconteça, deveriam existir estratégias cerebrais que trouxessem este resultado - a partir deste pressuposto eles fizeram muitas pesquisas, comprovaram a existência destas estratégias, decodificaram e estruturaram-nas, dando o nome de “Neuro Linguistic Programming - NLP”, ou seja, a inter-relação dos neurônios cerebrais com a linguagem verbal e não-verbal estabelecendo assim uma programação mental.

Dr. Deborah Epelman
Bacharel em Psicologia em 1984, pela OSEC (Faculdade de Santo Amaro). Psicóloga formada nas áreas Clinica, Industrial e Educacional, em 1983, pela OSEC. Iniciou seus estudos em programação neurolinguística  - PNL – em 1984, e a partir deste momento, iniciou trabalho em consultório.

Editora: Scortecci
Páginas: 	80
ISBN: 9788536614519
Escrito por: Deborah Epelman
","2015-08-15 03:14:28"
"Neurolingüística - Prática para o dia-a-dia",,"uploads/bibliografias/Neurolingüística.jpg"," Este livro recém lançado de PNL foi produzido por autores franceses, sendo o seu título em francês ""De um mundo a outro"". A semelhança da língua francesa ao português, ambas latinas, é conhecida pela sua construção gramatical e talvez isto torne os livros de PNL de origem francesa tão agradáveis e fáceis de serem lidos.

Pode-se considerá-lo um manual, ou um básico para iniciantes, pois trata de poucos tópicos, mas de uma maneira razoavelmente completa, dando ênfase maior a posterior prática da técnica e sua integração, através de exercícios.

Apresenta o Rapport, como sincronização, os movimentos dos olhos, os predicados, a calibragem, o metamodelo, âncoras e os estados internos. Traz depoimentos de pessoas que utilizaram as técnicas com sucesso. E está estruturado de forma a se ler o livro e ir praticando dia-a-dia, de forma que em 75 dias se tenha absorvido o seu conteúdo. Talvez um maior número de desenhos e gráficos ajudasse aos visuais na compreensão das técnicas.

Lançamentos desta qualidade sempre são bem-vindos aos penelistas, e este certamente será de grande utilidade aos principiantes.

Técnicas e exercícios para:
--Estabelecer uma boa relação com as pessoas
--Atingir metas
--Obter amadurecimento pessoal

Revisão feita por Márcia Hexsel Abichequer
Médica Nefrologista e Master Practitioner em PNL
Publicado no Informativo de PNL - O Golfinho número 32 de jul/97


Título original: D'un monde à un autre
Editora: Nobel
ISBN: 8521309260
Escrito por: Nelly Bidot, Bernard Morat","2015-08-15 03:26:27"
"Novos Rumos em Comunicação Interpessoal","http://www.amazon.com/gp/product/8521311281/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=8521311281&linkCode=as2&tag=mapn-20&linkId=WIKCRUZDAW2RXXUP","uploads/bibliografias/51SZW78VWFL.jpg","Editora: Nobel
ISBN: 8521311281, 9788521311287
Escrito por: José Ronaldo Mendes de Almeida, Ronaldo Meneghini Mendes de Almeida","2015-08-15 03:33:01"
"O Poder da PNL",,"uploads/bibliografias/O Poder da PNL.jpg","É um recurso prático para criar os resultados que queremos obter. Por outro lado, apresenta uma série de técnicas extremamente eficazes que podem ser usadas no campo da educação, da terapia, e no mundo profissional. Os textos deste livro-clipping são a essência do que melhor se publicou sobre a PNL, no Brasil.

A Programação Neurolinguística (PNL) é a arte e a ciência da excelência humana. A PNL é um poderoso e prático meio de tornar possível os resultados qe queremos obter. Pode ser usada no campo da educação, na terapia e no mundo profissional.

Editora: Martin Claret
ISBN: 8572320474
Escrito por: Livro Clipping","2015-08-15 03:37:52"
"PNL Sucesso e êxito pessoal",,"uploads/bibliografias/9788534919999.jpg","Pnl - Sucesso e Êxito Pessoal - Introdução À Programação Neurolingüística

Sem excluir o sucesso econômico, a PNL enfatiza os aspectos mais vitais e essenciais do sucesso pessoal e grupal. De modo concreto, mostra-nos alternativas práticas para que consigamos o sucesso em termos de: saber viver, conservando-nos vivos, saudáveis e felizes. Saber concluir com excelência as obras que empreendemos.
Saber transformar-nos em pessoa para chegar a ser o que podemos ser.


Título original: PNL - Exito y excelencia personal
Editora: Paulus
ISBN: 8534919992
Escrito por: Luis Jorge González","2015-08-16 02:46:45"
"Por Trás da Consciência",,"uploads/bibliografias/55998_987.jpg","Por Trás da Consciência - Um manual de introdução à Neurolingüística

Editora: Record
ISBN: 8501041866
Escrito por: Leonel Telles de Menezes, Christina Ávila de Menezes","2015-08-16 02:50:42"
