
"Vocação","
Era uma vez um belo jardim com maçãs, laranjas, peras e lindas rosas. Tudo era alegria no jardim, com exceção de uma árvore que estava profundamente triste. A árvore tinha um problema: “Não sabia quem era, nem o que tinha de fazer.”

A macieira lhe disse que era muito fácil fazer saborosas maçãs. ""Por que não tentar?""

“Não a escute, lhe disse a roseira. É melhor ter rosas. Não vê como elas são belas?”

E a árvore desesperada, tentava tudo o que lhe sugeriam, porém não lograva ser como as demais, se sentia cada vez mais frustrada.

Um dia chegou ao jardim uma coruja, o mais sábio dos pássaros, e ao ver o desespero da árvore, exclamou:

-Não se preocupe, seu problema não é grave, muitos seres sobre a Terra o têm. Vou lhe mostrar uma nova possibilidade:

- ""Não dedique sua vida para ser como os outros querem que você seja ... Busque ser você mesmo, conhecendo e ouvindo a sua voz interior, ela irá dizer-lhe qual é a sua vocação, a sua missão nesta vida."" E dito isso, a coruja desapareceu.

- Minha voz interior...? Ser eu mesmo?... Conhecer-me?... Vocação?... Missão?...

Perguntava a si mesmo a árvore desesperada, quando de repente ela percebeu ... E fechando os olhos e os ouvidos, pode abrir o seu coração, e ouvir uma voz interior dizendo:

""Você jamais dará maças porque você não é uma macieira, nem irá florescer a cada primavera, porque você não é uma roseira. Você é um carvalho, e seu destino é crescer grande e majestoso. Proporcione abrigo para pássaros, sombra para os viajantes, beleza para a paisagem ... Essa é a sua vocação .. É para isso que você nasceu. Descubra como se manifestar e cumpra a sua missão.""

A árvore se sentiu forte e segura de si mesmo e se preparou para ser tudo aquilo para o qual foi concebida. Assim, logo cresceu e passou a ser admirada e respeitada por todos.

Só então o jardim ficou completamente feliz.

Um conto da Índia.

 Publicado: 05 Setembro 2015 em Metáforas","2015-09-16 23:10:01"
"A dois dedos do afogamento","Alguns amigos convidaram Nasrudin para um piquenique. O bom humor imperava, e o almoço sobre a relva foi dos mais perfeitos. Mas a animação do grupo foi interrompida por um incidente que fez todo mundo correr em direção a um rio próximo.

Um desconhecido tinha escorregado e estava dentro da água, profunda e lodosa naquele ponto. De todos os lados correram em seu socorro.

– Dê sua mão! Dê sua mão! – gritavam-lhe.

Nenhuma reação da parte do infeliz, que não sabia nadar e tudo que fazia era engolir água.

Estava a dois dedos de afogar-se quando Mulla apareceu. Reconheceu o sujeito assim que o viu.

– Afastem-se todos e deixem comigo! – gritou, dirigindo-se à multidão.

Estendeu a mão direita para o homem que se debatia e lhe disse:

– Pegue minha mão!

Num rápido impulso, o desconhecido agarrou-se à mão estendida de Mulla, que o tirou do rio.

Nesse meio tempo, os curiosos tinham-se aglomerado e perguntavam em voz alta:

– Explique-nos, Mulla! Por que ele não nos deu a mão, mas agarrou a sua imediatamente?

– É muito simples – respondeu Nasrudin. – Eu o conheço há muito tempo: é um sujeito de uma avareza sórdida. Então vocês não sabem que os avarentos costumam tomar, e não dar? Foi por isso que não lhe pedi que me desse a mão, mas que pegasse a minha.

 Publicado: 29 Agosto 2015 em Metáforas","2015-09-16 23:27:37"
"Uma lição de um milhão de dólares","Eu havia voado para Dallas com o único propósito de visitar um cliente. O tempo era de suma importância e meus planos eram ir e voltar para o aeroporto o mais rápido possível. Um táxi impecável parou. O motorista correu para abrir a porta do passageiro e certificou-se de que eu estava confortavelmente sentado antes de fechá-la. Quando se sentou atrás do volante, mencionou que o Wall Street Journal, cuidadosamente dobrado ao meu lado, era para o meu uso. Mostrou-me  então várias fitas de música e perguntou que tipo eu apreciava. Ora! Olhei ao meu redor para verificar se havia uma câmera do tipo Topa Tudo Por Dinheiro escondida. Você não faria o mesmo? Eu não podia acreditar no atendimento que estava recebendo.

-- Com certeza, você se orgulha bastante do seu trabalho -- disse para o motorista. -- Você deve ter uma história para contar.

Ele tinha.

-- Eu costumava trabalhar na Corporate America -- começou. -- Mas fiquei cansado de pensar que o melhor que eu podia fazer nunca seria bom o suficiente, rápido o suficiente ou devidamente valorizado. Decidi encontrar meu lugar na vida, onde pudesse sentir orgulho de ser o melhor que eu pudesse. Eu sabia que eu nunca seria um cientista, mas adoro dirigir carros, ser útil e sentir que fiz um bom trabalho no fim do dia.

Depois de avaliar seus recursos pessoais, decidiu ser motorista de táxi.

-- Não apenas um motorista de táxi comum -- continuou -- , mas  um motorista de táxi profissional. De uma coisa estou certo: para ser bom no meu trabalho eu poderia apenas corresponder às expectativas dos passageiros. Porém, para ser excelente no meu trabalho, tenho de superar as expectativas dos clientes. Gosto mais da sensação de ser ""excelente"" do que ficar apenas na média.

Será que lhe dei uma boa gorjeta? Pode apostar que sim. A Coporate America saiu perdendo, mas as pessoas que viajam saíram lucrando.

Petey Parker
Do livro: Espírito de Cooperação no Trabalho","2015-09-16 23:29:02"
"O pavão tímido","Era uma vez... um tímido pavão, mas tão tímido que só abria sua cauda escondido, para evitar que alguém o visse. Um dia, esse pavão, certo de que ninguém o estava olhando, sente a necessidade de esticar suas plumas, e faz com a cauda um belíssimo círculo. Mas ele não estava sozinho. Próximo dali, havia um grupo de naturalistas, que ficam fascinados pela beleza, harmonia e variedade das cores de suas plumas. Aproximam-se para parabenizá-lo, mas o pavão, intimidado, escapa. Eles o alcançam e o asseguram que desejam somente mostrar sua admiração. O pavão não consegue acreditar. Por demais vezes um grupo de artificiais o tinha criticado quando fazia seu círculo com a cauda, gesto para ele tão natural. Os artificiais pensavam que queria se exibir, ostentando a vivacidade de suas cores, a expressividade de suas plumas, a amplidão de seu círculo.

O pavão agora compreende que os artificiais não são capazes de intuir a naturalidade de seu gesto, sabem intuir somente a ostentação.


Do livro: Metáforas para a evolução pessoal e profissional
Consuelo C. Casula vai ministrar o curso Pré-Congresso:
Coaching Ericksoniano - A arte de criar e usar metáforas","2015-09-16 23:30:44"
"Uma nova perspectiva","Quando era criança, sempre podia contar com meu pai para olhar as dificuldades sob outra perspectiva, fosse uma perna quebrada ou um coração partido. Anos depois, eu estava arrasada, com uma série de problemas pessoais. Precisando de ajuda e me sentindo derrotada, gastei minhas últimas economias numa viagem à Flórida para ver meu pai.

Na última noite da minha visita, estávamos na ponta de um píer olhando o pôr-do-sol. Não conseguia mais conter meu amargor.

- Sabe, papai, se pudéssemos juntar todos os bons momentos da vida, não durariam vinte minutos.

- É - ele concordou.

Olhei-o, espantada. Ele ainda estava estudando o sol que se punha no horizonte. Então, olhando firmemente nos meus olhos, acrescentou tranquilamente:

- São como tesouros, não são?


Do livro: Histórias para aquecer o coração dos Pais
Autor: Jack Canfield e outros
Editora Sextante","2015-09-16 23:32:12"
"O sabor de perder... Nasrudin","Nasrudin viu um homem sentado na beira de uma estrada, com ar de completa desolação.

- O que o preocupa? – quis saber.

- Meu irmão, não existe nada interessante na minha vida. Eu tenho dinheiro suficiente para não precisar trabalhar, e estava viajando para ver se havia alguma coisa curiosa no mundo. Entretanto, todas as pessoas que encontrei nada tem de novo para me dizer, e só conseguem aumentar meu tédio.

Na mesma hora, Nasrudin agarrou a mala do homem, e saiu correndo pela estrada. Como conhecia a região, rapidamente conseguiu distanciar-se dele, pegando atalhos pelos campos e colinas.

Quando se distanciou bastante, colocou de novo a mala no meio da estrada por onde o viajante iria passar, e escondeu-se por detrás de uma rocha. Meia hora depois o homem apareceu, sentindo-se mais miserável que nunca, por causa do ladrão que encontrara.

Assim que viu a mala, correu até ela e abriu-a, ofegante. Ao ver que seu conteúdo estava intacto, olhou para o céu cheio de alegria, e agradeceu ao Senhor pela vida.

Autor desconhecido

Publicado: 01 Agosto 2015 em Metáforas","2015-09-16 23:32:54"
"As questões do rei","Conta-se que num país longínquo, há muitos séculos, um rei se sentiu intrigado com algumas questões. Desejando ter respostas para elas, resolveu estabelecer um concurso do qual todas as pessoas do reino poderiam participar.

O prêmio seria uma enorme quantia em ouro, pedras preciosas, além de títulos de nobreza. Seria premiado com tudo isto quem conseguisse responder a três questões:

Qual é o lugar mais importante do mundo?

Qual é a tarefa mais importante do mundo?

Quem é o homem mais importante do mundo?

Sábios e ignorantes, ricos e pobres, crianças, jovens e adultos se apresentaram, tentando responder as três perguntas.

Para desconsolo do rei, nenhum deles deu uma resposta que o satisfizesse.

Em todo o território apenas um único homem não se apresentou para tentar responder os questionamentos. Era alguém considerado sábio, a quem não importava as fortunas nem as honrarias da terra.

O rei convocou esse homem para vir à sua presença e tentar responder suas indagações.

E o velho sábio respondeu a todas:

O lugar mais importante do mundo é aquele onde você está. O lugar onde você mora, vive, cresce, trabalha e atua é o mais importante do mundo. É ali que você deve ser útil, prestativo e amigo, porque este é o seu lugar.

A tarefa mais importante do mundo não é aquela que você desejaria executar, mas aquela que você deve fazer. Por isso, pode ser que o seu trabalho não seja o mais agradável e bem remunerado do mundo, mas é aquele que lhe permite o próprio sustento e da sua família. É aquele que lhe permite desenvolver as potencialidades que existem dentro de você. É aquele que lhe permite exercitar a paciência, a compreensão, a fraternidade. Se você não tem o que ama, importante que ame o que tem. A mínima tarefa é importante. Se você falhar, ou se omitir, ninguém a executará em seu lugar, exatamente da forma e da maneira que você o faria.

E, finalmente, o homem mais importante do mundo é aquele que precisa de você, porque é ele que lhe possibilita a mais bela das virtudes: a caridade. A caridade é uma escada de luz. E o auxílio fraternal é oportunidade luminosa. É a mais alta conquista que o homem poderá desejar.

O rei, ouvindo as respostas tão ponderadas e bem fundamentadas, aplaudiu agradecido.

Para sua própria felicidade, descobrira um sentido para a sua vida, uma razão de ser para os seus últimos anos sobre a Terra.

Autor desconhecido

Publicado: 25 Julho 2015 em Metáforas","2015-09-16 23:33:32"
"O cavaleiro apressado","Era uma vez um homem que estava dormindo. Enquanto dormia engoliu um animal venenoso que lhe ficou entalado na garganta.

Levantou-se numa espécie de delírio e começou a tossir e a se sacudir, tentando livrar-se de um mal que absolutamente não compreendia.

Um cavaleiro que passava por ali naquele momento viu, num relance, tudo o que havia acontecido. Imediatamente ergueu o chicote e começou a açoitar o homem, golpeando-o sem piedade, até que ficou negro e azulado.

O homem, meio enlouquecido, tentou gritar-lhe que parasse, mas não conseguia fazer com que as palavras saíssem. Enquanto corria, ou se espojava no chão, ou se revirava, sempre recebia uma chuva de golpes implacáveis.

O cavaleiro não dizia uma palavra.

Finalmente, como resultado de uma terrível náusea, o animal venenoso foi vomitado pelo ressentido estômago do homem aflito. O animal caiu ao chão e estrebuchou. O cavaleiro, sem uma palavra, esporeou o cavalo e partiu.

Somente então o homem percebeu que aquilo que lhe parecera um assalto injustificado, havia sido, na verdade, a única forma de se livrar do animal antes que o veneno fosse injetado em seu sangue.

Este tipo de coisa não acontece todos os dias, nem a todas as pessoas, nem todo o tempo. Mas, às vezes, há na vida de todas as pessoas ocasiões em que se pode estar recebendo ajuda embora se acredite que se esteja recebendo um malefício, e vice-versa. No ensinamento superior, o mestre não se exime de um dever tão penoso como o do cavaleiro em nossa parábola; como tampouco se pode esperar que ele seja invariavelmente duro.

Livro: 'O Sufismo no Ocidente'
Edições Dervish","2015-09-16 23:35:43"
"A luva de Jessie","Todos os anos faço treinamento de gerentes para a Circle K Corporation, uma cadeia nacional de lojas de conveniência. Um dos tópicos que abordamos em nossos seminários é como manter a qualidade dos funcionários, um verdadeiro desafio para os gerentes quando se leva em consideração a escala de salários do setor de serviços. Durante essas discussões, costumo perguntar aos participantes:

“O que fez com que você ficasse tempo suficiente para se tornar um gerente?” Tempos atrás, fiz essa pergunta a uma gerente que devagar, com a voz embargada, disse: “Uma luva de beisebol de 19 dólares.”

Cyntia disse ao grupo que no início aceitara um emprego de vendedora na Circle K como um trabalho temporário enquanto procurava algo melhor. No segundo ou terceiro dia atrás do balcão, seu filho Jessie, de 9 anos, telefonou para ela. Ele precisava de uma luva de beisebol para a Liga Infantil. Ela explicou que, como mãe solteira, o dinheiro era muito curto e que o primeiro salário seria utilizado para pagar as contas. Talvez ela pudesse comprar a luva de beisebol com o segundo ou terceiro salário.

Quando Cyntia chegou ao trabalho na manhã seguinte, Patrícia, a gerente da loja, pediu-lhe que a acompanhasse até um quartinho atrás da loja, que servia como escritório. Ela se perguntava se havia feito algo errado ou deixado algum trabalho incompleto no dia anterior. Estava preocupada e confusa.

Patrícia entregou-lhe uma caixa e disse:

- Ouvi sem querer a conversa que teve com seu filho ontem e sei que é muito difícil explicar essas coisas para as crianças. Isto é uma luva de beisebol para Jessie, porque, provavelmente ele não compreende o quanto ele é importante, mesmo que você tenha de pagar as contas antes de comprar a luva. Você sabe que não podemos pagar pessoas boas como você como gostaríamos, mas realmente nos importamos e quero que saiba que você é importante para nós.

A consideração, a compreensão e o amor dessa gerente de loja de conveniência demonstram claramente que as pessoas se lembram muito mais da preocupação que o patrão demonstra por elas do que quanto ele lhes paga. Uma lição importante pelo preço de uma luva de beisebol da Liga Infantil.


Do livro: Espírito de Cooperação no Trabalho","2015-09-16 23:37:34"
"Julgamento apressado","Uma garota segurava em suas mãos duas maçãs. Sua mãe entrou e lhe pediu com uma voz doce e um belo sorriso:

- Querida, você poderia dar uma de suas maçãs para mamãe?

A menina levanta os olhos para sua mãe durante alguns segundos, e morde subitamente uma das maçãs e logo em seguida a outra.

A mãe sente seu rosto se esfriar e perde o sorriso. Ela tenta não mostrar sua decepção quando sua filha lhe dá uma de suas maçãs mordidas. A pequena olha sua mãe com um sorriso de anjo e diz:

- A mais doce é essa!

Pouco importa quem você é, que você tenha experiência, seja competente ou sábio. Espere para fazer seu ??julgamento. Dê aos outros o privilégio de poder se explicar. Mesmo que a ação pareça errada, o motivo pode ser bom. Pense nisso!

Enviada por: Edeli
Publicado: 04 Julho 2015 em Metáforas","2015-09-16 23:38:30"
